episode,time,node,node_capacity,used_resources
1,1300.0,pop2,3,2.0
1,1300.0,pop3,5,2.0
1,1300.0,pop4,1,1.0
1,1300.0,pop5,1,0.0
1,1300.0,pop6,4,1.0
1,1300.0,pop7,1,1.0
1,1300.0,pop8,0,0.0
1,1300.0,pop9,3,1.0
1,1300.0,pop10,5,2.0
1,1400.0,pop0,5,1.0
1,1400.0,pop1,0,0.0
1,1400.0,pop2,3,0.0
1,1400.0,pop3,5,2.0
1,1400.0,pop4,1,0.0
1,1400.0,pop5,1,0.0
1,1400.0,pop6,4,2.0
1,1400.0,pop7,1,0.0
1,1400.0,pop8,0,0.0
1,1400.0,pop9,3,0.0
1,1400.0,pop10,5,2.0
1,1500.0,pop0,5,2.0
1,1500.0,pop1,0,0.0
1,1500.0,pop2,3,2.0
1,1500.0,pop3,5,0.0
1,1500.0,pop4,1,0.0
1,1500.0,pop5,1,0.0
1,1500.0,pop6,4,0.0
1,1500.0,pop7,1,0.0
1,1500.0,pop8,0,0.0
1,1500.0,pop9,3,2.0
1,1500.0,pop10,5,2.0
1,1600.0,pop0,5,3.0
1,1600.0,pop1,0,0.0
1,1600.0,pop2,3,1.0
1,1600.0,pop3,5,2.0
1,1600.0,pop4,1,0.0
1,1600.0,pop5,1,1.0
1,1600.0,pop6,4,3.0
1,1600.0,pop7,1,1.0
1,1600.0,pop8,0,0.0
1,1600.0,pop9,3,2.0
1,1600.0,pop10,5,2.0
1,1700.0,pop0,5,2.0
1,1700.0,pop1,0,0.0
1,1700.0,pop2,3,1.0
1,1700.0,pop3,5,1.0
1,1700.0,pop4,1,0.0
1,1700.0,pop5,1,0.0
1,1700.0,pop6,4,1.0
1,1700.0,pop7,1,0.0
1,1700.0,pop8,0,0.0
1,1700.0,pop9,3,1.0
1,1700.0,pop10,5,2.0
1,1800.0,pop0,5,3.0
1,1800.0,pop1,0,0.0
1,1800.0,pop2,3,2.0
1,1800.0,pop3,5,0.0
1,1800.0,pop4,1,0.0
1,1800.0,pop5,1,0.0
1,1800.0,pop6,4,0.0
1,1800.0,pop7,1,0.0
1,1800.0,pop8,0,0.0
1,1800.0,pop9,3,1.0
1,1800.0,pop10,5,2.0
1,1900.0,pop0,5,2.0
1,1900.0,pop1,0,0.0
1,1900.0,pop2,3,1.0
1,1900.0,pop3,5,2.0
1,1900.0,pop4,1,0.0
1,1900.0,pop5,1,0.0
1,1900.0,pop6,4,2.0
1,1900.0,pop7,1,1.0
1,1900.0,pop8,0,0.0
1,1900.0,pop9,3,2.0
1,1900.0,pop10,5,3.0
1,2000.0,pop0,5,2.0
1,2000.0,pop1,0,0.0
1,2000.0,pop2,3,2.0
1,2000.0,pop3,5,3.0
1,2000.0,pop4,1,0.0
1,2000.0,pop5,1,0.0
1,2000.0,pop6,4,2.0
1,2000.0,pop7,1,0.0
1,2000.0,pop8,0,0.0
1,2000.0,pop9,3,1.0
1,2000.0,pop10,5,2.0
1,2100.0,pop0,5,3.0
1,2100.0,pop1,0,0.0
1,2100.0,pop2,3,2.0
1,2100.0,pop3,5,1.0
1,2100.0,pop4,1,0.0
1,2100.0,pop5,1,0.0
1,2100.0,pop6,4,4.0
1,2100.0,pop7,1,0.0
1,2100.0,pop8,0,0.0
1,2100.0,pop9,3,3.0
1,2100.0,pop10,5,3.0
1,2200.0,pop0,5,3.0
1,2200.0,pop1,0,0.0
1,2200.0,pop2,3,2.0
1,2200.0,pop3,5,2.0
1,2200.0,pop4,1,0.0
1,2200.0,pop5,1,0.0
1,2200.0,pop6,4,1.0
1,2200.0,pop7,1,1.0
1,2200.0,pop8,0,0.0
1,2200.0,pop9,3,2.0
1,2200.0,pop10,5,2.0
1,2300.0,pop0,5,2.0
1,2300.0,pop1,0,0.0
1,2300.0,pop2,3,2.0
1,2300.0,pop3,5,2.0
1,2300.0,pop4,1,0.0
1,2300.0,pop5,1,1.0
1,2300.0,pop6,4,2.0
1,2300.0,pop7,1,0.0
1,2300.0,pop8,0,0.0
1,2300.0,pop9,3,2.0
1,2300.0,pop10,5,3.0
1,2400.0,pop0,5,2.0
1,2400.0,pop1,0,0.0
1,2400.0,pop2,3,2.0
1,2400.0,pop3,5,3.0
1,2400.0,pop4,1,1.0
1,2400.0,pop5,1,1.0
1,2400.0,pop6,4,2.0
1,2400.0,pop7,1,1.0
1,2400.0,pop8,0,0.0
1,2400.0,pop9,3,2.0
1,2400.0,pop10,5,3.0
1,2500.0,pop0,5,2.0
1,2500.0,pop1,0,0.0
1,2500.0,pop2,3,3.0
1,2500.0,pop3,5,2.0
1,2500.0,pop4,1,1.0
1,2500.0,pop5,1,0.0
1,2500.0,pop6,4,1.0
1,2500.0,pop7,1,1.0
1,2500.0,pop8,0,0.0
1,2500.0,pop9,3,1.0
1,2500.0,pop10,5,1.0
1,2600.0,pop0,5,2.0
1,2600.0,pop1,0,0.0
1,2600.0,pop2,3,2.0
1,2600.0,pop3,5,3.0
1,2600.0,pop4,1,1.0
1,2600.0,pop5,1,0.0
1,2600.0,pop6,4,2.0
1,2600.0,pop7,1,0.0
1,2600.0,pop8,0,0.0
1,2600.0,pop9,3,1.0
1,2600.0,pop10,5,2.0
1,2700.0,pop0,5,1.0
1,2700.0,pop1,0,0.0
1,2700.0,pop2,3,1.0
1,2700.0,pop3,5,2.0
1,2700.0,pop4,1,0.0
1,2700.0,pop5,1,0.0
1,2700.0,pop6,4,2.0
1,2700.0,pop7,1,1.0
1,2700.0,pop8,0,0.0
1,2700.0,pop9,3,1.0
1,2700.0,pop10,5,1.0
1,2800.0,pop0,5,3.0
1,2800.0,pop1,0,0.0
1,2800.0,pop2,3,2.0
1,2800.0,pop3,5,2.0
1,2800.0,pop4,1,1.0
1,2800.0,pop5,1,1.0
1,2800.0,pop6,4,2.0
1,2800.0,pop7,1,1.0
1,2800.0,pop8,0,0.0
1,2800.0,pop9,3,2.0
1,2800.0,pop10,5,3.0
1,2900.0,pop0,5,2.0
1,2900.0,pop1,0,0.0
1,2900.0,pop2,3,3.0
1,2900.0,pop3,5,1.0
1,2900.0,pop4,1,0.0
1,2900.0,pop5,1,0.0
1,2900.0,pop6,4,3.0
1,2900.0,pop7,1,1.0
1,2900.0,pop8,0,0.0
1,2900.0,pop9,3,1.0
1,2900.0,pop10,5,1.0
1,3000.0,pop0,5,1.0
1,3000.0,pop1,0,0.0
1,3000.0,pop2,3,2.0
1,3000.0,pop3,5,1.0
1,3000.0,pop4,1,1.0
1,3000.0,pop5,1,1.0
1,3000.0,pop6,4,1.0
1,3000.0,pop7,1,1.0
1,3000.0,pop8,0,0.0
1,3000.0,pop9,3,1.0
1,3000.0,pop10,5,1.0
1,3100.0,pop0,5,2.0
1,3100.0,pop1,0,0.0
1,3100.0,pop2,3,2.0
1,3100.0,pop3,5,0.0
1,3100.0,pop4,1,0.0
1,3100.0,pop5,1,0.0
1,3100.0,pop6,4,1.0
1,3100.0,pop7,1,1.0
1,3100.0,pop8,0,0.0
1,3100.0,pop9,3,1.0
1,3100.0,pop10,5,2.0
1,3200.0,pop0,5,1.0
1,3200.0,pop1,0,0.0
1,3200.0,pop2,3,1.0
1,3200.0,pop3,5,2.0
1,3200.0,pop4,1,0.0
1,3200.0,pop5,1,0.0
1,3200.0,pop6,4,1.0
1,3200.0,pop7,1,1.0
1,3200.0,pop8,0,0.0
1,3200.0,pop9,3,2.0
1,3200.0,pop10,5,2.0
1,3300.0,pop0,5,2.0
1,3300.0,pop1,0,0.0
1,3300.0,pop2,3,1.0
1,3300.0,pop3,5,0.0
1,3300.0,pop4,1,0.0
1,3300.0,pop5,1,0.0
1,3300.0,pop6,4,0.0
1,3300.0,pop7,1,0.0
1,3300.0,pop8,0,0.0
1,3300.0,pop9,3,2.0
1,3300.0,pop10,5,3.0
1,3400.0,pop0,5,1.0
1,3400.0,pop1,0,0.0
1,3400.0,pop2,3,1.0
1,3400.0,pop3,5,1.0
1,3400.0,pop4,1,0.0
1,3400.0,pop5,1,0.0
1,3400.0,pop6,4,2.0
1,3400.0,pop7,1,0.0
1,3400.0,pop8,0,0.0
1,3400.0,pop9,3,1.0
1,3400.0,pop10,5,2.0
